airline seat_km_per_week incidents fatal_accidents fatalities 
Aer_Lingus 320906734 0 0 0 
Aeroflot* 1197672318 6 1 88 
Aerolineas_Argentinas 385803648 1 0 0 
Aeromexico* 596871813 5 0 0 
Air_Canada 1865253802 2 0 0 
Air_France 3004002661 6 2 337 
Air_India* 869253552 4 1 158 
Air_New_Zealand* 710174817 5 1 7 
Alaska_Airlines* 965346773 5 1 88 
Alitalia 698012498 4 0 0 
All_Nippon_Airways 1841234177 7 0 0 
American* 5228357340 17 3 416 
Austrian_Airlines 358239823 1 0 0 
Avianca 396922563 0 0 0 
British_Airways* 3179760952 6 0 0 
Cathay_Pacific* 2582459303 2 0 0 
China_Airlines 813216487 2 1 225 
Condor 417982610 0 0 0 
COPA 550491507 0 0 0 
Delta_/_Northwest* 6525658894 24 2 51 
Egyptair 557699891 4 1 14 
El_Al 335448023 1 0 0 
Ethiopian_Airlines 488560643 5 2 92 
Finnair 506464950 0 0 0 
Garuda_Indonesia 613356665 4 2 22 
Gulf_Air 301379762 3 1 143 
Hawaiian_Airlines 493877795 1 0 0 
Iberia 1173203126 5 0 0 
Japan_Airlines 1574217531 0 0 0 
Kenya_Airways 277414794 2 2 283 
KLM* 1874561773 1 0 0 
Korean_Air 1734522605 1 0 0 
LAN_Airlines 1001965891 0 0 0 
Lufthansa* 3426529504 3 0 0 
Malaysia_Airlines 1039171244 3 2 537 
Pakistan_International 348563137 10 2 46 
Philippine_Airlines 413007158 2 1 1 
Qantas* 1917428984 5 0 0 
Royal_Air_Maroc 295705339 3 0 0 
SAS* 682971852 6 1 110 
Saudi_Arabian 859673901 11 0 0 
Singapore_Airlines 2376857805 2 1 83 
South_African 651502442 1 0 0 
Southwest_Airlines 3276525770 8 0 0 
Sri_Lankan_/_AirLanka 325582976 4 0 0 
SWISS* 792601299 3 0 0 
TACA 259373346 1 1 3 
TAM 1509195646 7 2 188 
TAP_-_Air_Portugal 619130754 0 0 0 
Thai_Airways 1702802250 2 1 1 
Turkish_Airlines 1946098294 8 2 84 
United_/_Continental* 7139291291 14 2 109 
US_Airways_/_America_West* 2455687887 11 2 23 
Vietnam_Airlines 625084918 1 0 0 
Virgin_Atlantic 1005248585 0 0 0 
Xiamen_Airlines 430462962 2 0 0 
